"Your Kindle Notes For:",,,
"OGILVY ON ADVERTISING",,,
"by David Ogilvy",,,
"Free Kindle instant preview:",,,
"http://a.co/geSdYmX",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 355","","Advertising reflects the mores of society, but does not influence them."
"Highlight (Yellow)","Location 383","","If you follow the advice I have given you, you will do your homework, avoid committees, learn from research, watch what the direct-response advertisers do, and stay away from irrelevant sex."
"Highlight (Yellow)","Location 599","","Don’t tell my mother I work in an advertising agency – she thinks I play the piano in a whorehouse."
"Highlight (Yellow)","Location 661","","Running an agency requires midnight oil, salesmanship of the highest order, a deep keel, guts, thrust, and a genius for sustaining the morale of men and women who work in a continuous state of anxiety."
"Highlight (Yellow)","Location 671","","Make it fun to work in your agency. When people aren’t having any fun, they don’t produce good advertising. Kill grimness with laughter. Encourage exuberance. Get rid of sad dogs who spread gloom."
"Highlight (Yellow)","Location 690","","What can you do to keep sibling rivalry under control? You can be fair, and you can avoid playing favorites."
"Highlight (Yellow)","Location 730","","Royal Dutch Shell has found that the most reliable criteria for selecting what they call Crown Princes are these: 1 The power of analysis. 2 Imagination. 3 A sense of reality. 4 The ‘helicopter quality’ – the ability to look at facts and problems from an overall viewpoint."
"Highlight (Yellow)","Location 744","","Never hire your friends. I have made this mistake three times, and had to fire all three. They are no longer my friends."
"Highlight (Yellow)","Location 828","","Most of the great leaders I know have the ability to inspire people with their speeches. If you cannot write inspiring speeches yourself, use ghost-writers – but use good ones."
"Highlight (Yellow)","Location 849","","Marvin Bower, who made McKinsey what it is today, believes that every company should have a written set of principles and purposes."
"Highlight (Yellow)","Location 853","","I can only tell you that mine have proved invaluable in keeping a complicated enterprise on course."
"Highlight (Yellow)","Location 880","","When a client frets about the price of his agency’s services, he ends up getting a low price and poor advertising."
"Highlight (Yellow)","Location 1141","","The headlines which work best are those which promise the reader a benefit"
"Highlight (Yellow)","Location 1143","","Headlines which contain news are sure-fire. The news can be the announcement of a new product, an improvement in an old product, or a new way to use an old product – like serving Campbell’s Soup on the rocks."
"Highlight (Yellow)","Location 1154","","Headlines that offer the reader helpful information, like HOW TO WIN FRIENDS AND INFLUENCE PEOPLE, attract above-average readership."
"Highlight (Yellow)","Location 1155","","I advise you to include the brand name in your headline. If you don’t, 80 per cent of readers (who don’t read your body copy) will never know what product you are advertising."
"Highlight (Yellow)","Location 1169","","Specifics work better than generalities."
"Highlight (Yellow)","Location 1367","","More people read the captions under illustrations than read the body copy, so never use an illustration without putting a caption under it. Your caption should include the brand name and the promise."
"Highlight (Yellow)","Location 1729","","Opinion Research Corporation has found that people who know a company well are five times more likely to have a favorable opinion of it."
"Highlight (Yellow)","Location 2135","","The ‘right kind’ are those which set up a problem and demonstrate how your product can solve it;"
"Highlight (Yellow)","Location 2215","","Your chances of competing successfully against this juggernaut will be improved if you understand the reasons for its overwhelming success,"
"Highlight (Yellow)","Location 2217","","Their guiding philosophy is to plan thoroughly, minimize risk, and stick to their proven principles."
"Highlight (Yellow)","Location 2228","","‘The key to successful marketing is superior product performance…. If the consumer does not perceive any real benefits in the brand, then no amount of ingenious advertising and selling can save it.’"
"Highlight (Yellow)","Location 2233","","Only three products in the history of P&G have gone national without being test-marketed for at least six months. Two of them failed."
"Highlight (Yellow)","Location 2238","","They always promise the consumer one important benefit."
"Highlight (Yellow)","Location 2240","","the first duty of advertising is to communicate effectively, not to be original or entertaining,"
"Highlight (Yellow)","Location 2252","","Less than half their commercials include a ‘reason why’. They have come to think it sufficient to show consumers what the product will do for them, without explaining why it does it."
"Highlight (Yellow)","Location 2275","","Advertising people who ignore research are as dangerous as generals who ignore decodes of enemy signals."
"Highlight (Yellow)","Location 2314","","Advertising which promises no benefit to the consumer does not sell, yet the majority of campaigns contain no promise whatever."
"Highlight (Yellow)","Location 2502","","Concentrate your time, your brains, and your advertising money on your successes. Back your winners, and abandon your losers."
